Date,Time,Bucket Empty,Model,Serial No.,Volume Emptied (pts),Run (Guest AH),Run (Out Temp),AH (In) - AH (Out) [G],Temp (In) [G],Temp (Out) [G],Temp (Epan) [G],Temp (Guest) [G],Temp (Front) [G],AH (Guest) [G],AH (Front) [G],AH (EPan) [G],Temp (WxStn) [G],AH (WxStn) [G],AH (In) - AH (Out) [O],Temp (In)  [O],Temp (Out)  [O],Temp (Epan)  [O],Temp (Guest)  [O],Temp (Front)  [O],AH (Guest)  [O],AH (Front) [O],AH (EPan) [O],Temp (WxStn) [O],AH (WxStn) [O]
9/21/2014,11:45:00,2014-09-21 11:45:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2014,7:25:00,2014-09-22 07:25:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2014,21:33:00,2014-09-23 21:33:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2014,19:08:00,2014-09-24 19:08:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2014,22:40:00,2014-09-26 22:40:00,FAD704DWD,unknown,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2014,20:15:00,2014-09-28 20:15:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2014,18:20:00,2014-09-30 18:20:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2014,7:13:00,2014-10-02 07:13:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2014,8:40:00,2014-10-04 08:40:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2014,7:00:00,2014-10-06 07:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/8/2014,8:37:00,2014-10-08 08:37:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014,22:30:00,2014-10-10 22:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2014,23:38:00,2014-10-13 23:38:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014,19:04:00,2014-10-15 19:04:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2014,19:36:00,2014-10-17 19:36:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2014,21:37:00,2014-10-19 21:37:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2014,22:11:00,2014-10-21 22:11:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2016,7:14:00,2016-06-15 07:14:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2016,20:52:00,2016-06-17 20:52:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2016,13:07:00,2016-06-20 13:07:00,FAD704DWD,unknown,32.8,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2016,21:04:00,2016-06-21 21:04:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2016,21:27:00,2016-06-22 21:27:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2016,21:27:00,2016-06-23 21:27:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2016,23:48:00,2016-06-27 23:48:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2016,20:06:00,2016-06-28 20:06:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2016,21:39:00,2016-06-29 21:39:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2016,19:25:00,2016-06-30 19:25:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
